"","domain","phylum","class","order","family","genus"
"ASV1","d__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobrevibacter"
"ASV2","d__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanosphaera"
"ASV3","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Methanomassiliicoccales","f__Methanomethylophilaceae","g__uncultured"
"ASV4","d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__Acidobacteriaceae_(Subgroup_1)","g__Granulicella"
"ASV5","d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__Koribacteraceae","g__Candidatus_Koribacter"
"ASV6","d__Bacteria","p__Acidobacteriota","c__Blastocatellia","o__Pyrinomonadales","f__Pyrinomonadaceae","g__RB41"
"ASV7","d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured"
"ASV8","d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured"
"ASV9","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Microtrichales","f__Iamiaceae","g__Iamia"
"ASV10","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces"
"ASV11","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces"
"ASV12","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces"
"ASV13","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces"
"ASV14","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces"
"ASV15","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces"
"ASV16","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces"
"ASV17","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__F0332"
"ASV18","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium"
"ASV19","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium"
"ASV20","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium"
"ASV21","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium"
"ASV22","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium"
"ASV23","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium"
"ASV24","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium"
"ASV25","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium"
"ASV26","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium"
"ASV27","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium"
"ASV28","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium"
"ASV29","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Gardnerella"
"ASV30","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Scardovia"
"ASV31","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium"
"ASV32","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium"
"ASV33","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Lawsonella"
"ASV34","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Lawsonella"
"ASV35","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Geodermatophilaceae","g__Blastococcus"
"ASV36","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Bogoriellaceae","g__Georgenia"
"ASV37","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Ornithinibacter"
"ASV38","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Microbacteriaceae"
"ASV39","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Micrococcus"
"ASV40","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Pseudarthrobacter"
"ASV41","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia"
"ASV42","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium"
"ASV43","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Propionibacterium"
"ASV44","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Atopobium"
"ASV45","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Atopobium"
"ASV46","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Coriobacteriaceae_UCG-003"
"ASV47","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Libanicoccus"
"ASV48","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Olsenella"
"ASV49","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Olsenella"
"ASV50","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Olsenella"
"ASV51","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Olsenella"
"ASV52","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__uncultured"
"ASV53","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella"
"ASV54","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella"
"ASV55","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella"
"ASV56","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella"
"ASV57","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella"
"ASV58","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella"
"ASV59","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Enorma"
"ASV60","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriales_Incertae_Sedis","g__Phoenicibacter"
"ASV61","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriales_Incertae_Sedis","g__Raoultibacter"
"ASV62","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriales_Incertae_Sedis","g__uncultured"
"ASV63","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriales_Incertae_Sedis","g__uncultured"
"ASV64","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriales_Incertae_Sedis","g__uncultured"
"ASV65","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Adlercreutzia"
"ASV66","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Adlercreutzia"
"ASV67","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__CHKCI002"
"ASV68","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__CHKCI002"
"ASV69","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Eggerthella"
"ASV70","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Eggerthella"
"ASV71","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Eggerthella"
"ASV72","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Enterorhabdus"
"ASV73","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Enterorhabdus"
"ASV74","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Enteroscipio"
"ASV75","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Gordonibacter"
"ASV76","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Gordonibacter"
"ASV77","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Gordonibacter"
"ASV78","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Gordonibacter"
"ASV79","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Paraeggerthella"
"ASV80","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Senegalimassilia"
"ASV81","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Slackia"
"ASV82","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Slackia"
"ASV83","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Slackia"
"ASV84","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Slackia"
"ASV85","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Slackia"
"ASV86","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__uncultured"
"ASV87","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__uncultured"
"ASV88","d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__uncultured","g__uncultured"
"ASV89","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Gaiellales","f__uncultured","g__uncultured"
"ASV90","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Gaiellales","f__uncultured","g__uncultured"
"ASV91","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__67-14","g__67-14"
"ASV92","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV93","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV94","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV95","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV96","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV97","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV98","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV99","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV100","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV101","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV102","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV103","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV104","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV105","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV106","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV107","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV108","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV109","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV110","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV112","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV114","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV115","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV116","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV117","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV118","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV119","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV120","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV121","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV122","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV123","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV124","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV125","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV126","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides"
"ASV127","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella"
"ASV128","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella"
"ASV129","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella"
"ASV130","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella"
"ASV131","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella"
"ASV132","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella"
"ASV133","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella"
"ASV134","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Coprobacter"
"ASV135","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Coprobacter"
"ASV136","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Coprobacter"
"ASV137","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Coprobacter"
"ASV138","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Coprobacter"
"ASV139","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__uncultured"
"ASV140","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__uncultured"
"ASV141","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__uncultured"
"ASV142","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas"
"ASV143","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas"
"ASV144","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas"
"ASV145","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas"
"ASV146","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas"
"ASV147","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas"
"ASV148","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter"
"ASV149","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter"
"ASV150","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter"
"ASV151","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Sanguibacteroides"
"ASV152","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae"
"ASV153","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae"
"ASV154","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae"
"ASV155","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae"
"ASV156","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae"
"ASV157","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae"
"ASV158","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas"
"ASV159","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas"
"ASV160","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas"
"ASV161","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas"
"ASV162","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas"
"ASV163","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Alloprevotella"
"ASV164","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Alloprevotella"
"ASV165","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Alloprevotella"
"ASV166","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Alloprevotella"
"ASV167","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Paraprevotella"
"ASV168","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Paraprevotella"
"ASV169","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Paraprevotella"
"ASV170","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV171","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV172","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV173","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV174","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV175","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV176","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV177","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV178","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV179","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV180","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV181","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV182","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV183","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV184","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV185","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV186","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV187","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella"
"ASV188","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_Ga6A1_group"
"ASV189","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_NK3B31_group"
"ASV190","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_NK3B31_group"
"ASV191","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_NK3B31_group"
"ASV192","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_NK3B31_group"
"ASV193","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-001"
"ASV194","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-001"
"ASV195","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-003"
"ASV196","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-004"
"ASV197","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__uncultured"
"ASV198","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__uncultured"
"ASV199","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__uncultured"
"ASV200","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes"
"ASV201","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes"
"ASV202","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes"
"ASV203","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes"
"ASV204","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes"
"ASV205","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes"
"ASV206","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes"
"ASV207","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes"
